Ã¯Â»Â¿userName,content,at,score
Lilik Cakep,"['sinyal', 'jelek', 'jelek', 'geser', 'dikit', 'hilang', 'sinyal', 'pindah', 'hilang', 'sinyal', 'hujan', 'mati', 'lampu', 'putus', 'tuh', 'sinyal', 'kayak', 'gin', 'guna', 'kecewa', 'layan', 'ikan', 'konsumen', 'buat', 'usaha', 'kualitas', 'layan', 'ikan', 'nol']",28/01/2024 14:34,0
Abdul Tuanaya,"['5g', 'hadir']",26/01/2024 22:30,1
Angga Andika,"['indosat', '11', 'januari', '2024']",11/01/2024 04:44,0
Muhammad miistar Mistar,['bagus'],28/01/2024 14:47,1
Ardys,"['paket', '30', 'mwahal']",31/01/2024 02:36,0
sahril ilham,"['operator', 'indosat', 'ngantukk', 'nuker', 'kuota', 'tidak', 'konfirmasi', 'bodoh']",13/01/2024 01:02,0
Sandy ÃÂsandyÃÂ Eka,"['sms', 'nomor', '99222', 'pulsa', 'sedot', '12002000an', 'suruh', 'unreg', 'hubung', '1852', 'pas', 'hubung', 'tidak', 'langgan', 'apa', 'malas', 'beli', 'pulsa', 'andira', 'by', 'aplikasi', 'myim3', 'tidak', 'sedia']",11/01/2024 05:55,0
NUR ROHMAN,['bagus'],23/01/2024 05:26,1
Maz Ali,"['sinyal', 'bagus', 'bagus', 'gadipake']",26/01/2024 13:56,0
Andi Ardian,"['emtri', 'jaring', 'buruk']",26/01/2024 13:52,0
Dede Sutisna,"['selamat', 'indosat', 'terima', 'kasih', 'tani', 'hampir', '15', 'pindah', 'provider', 'ingat', 'kualitas', 'sinyal', 'busukkk']",17/01/2024 14:49,0
Aben Herdiansyah,['bagus'],20/01/2024 01:47,1
Arif Hidayat,"['jaring', 'nya', 'hilang']",26/01/2024 12:51,0
Rian Syah,"['kartu', 'gak', 'sinyal', 'usaha', 'setia', 'kartu', '2', 'sabar', 'ngadep', 'sinyal', 'gak', 'kadang', 'hilang', 'pas', 'main', 'game', 'hilang', 'ganggu', 'suka', 'notif', 'bohong', 'ganggu', 'putus', 'buang', 'kartu', 'gak', 'iya', 'pakai', 'kartu', 'desa', 'kota', 'kerja', 'tidak', 'terima', 'kasih']",26/01/2024 18:51,0
Nanang Kusnadi,"['error', 'tidak', 'unduh', 'gmn', 'nya']",26/01/2024 13:22,1
Dita Mahardika Damayanti,"['terima', 'kasih']",14/01/2024 01:01,1
Ryo Arovi,"['jih', 'kesini', 'makain', 'tidak', 'sih', 'indosat', 'm3', 'layan', 'jelek', 'banget', 'sumpah', 'ganggu', 'minggu2', 'tidak', 'hujan', 'tidak', 'angin', 'tiba2', 'hilang', 'tiba2', 'lelet', 'aneh']",31/01/2024 13:47,0
Sumantri Mantri,['bonus'],29/01/2024 17:02,1
Sandi San,['okokok'],18/01/2024 16:40,1
Faiz Mudhakir,[],16/01/2024 19:05,1
Hariyanto Mix II,"['mahal', 'paket', 'nyajuga', 'cepat', 'habis']",16/01/2024 05:13,0
sahiruddin syahir,['mantap'],25/01/2024 22:53,1
Figo Elang,['naiseh'],25/01/2024 02:59,1
Hilmi Sayko,"['baru', 'tidak', 'cek', 'tanggal', 'aktif', 'habis', 'bobrok', 'sistem']",15/01/2024 06:14,0
esadamara putra,"['nge', 'bug', 'anjing']",18/01/2024 12:57,0
Imam Syafii,['bagus'],11/01/2024 03:38,1
Era Gaming,['ppuas'],26/01/2024 01:38,1
Hani Nurhanifah,['ok'],18/01/2024 02:33,1
Sky Gracee,"['isi', 'pulsa', 'beli', 'paket', 'sengaja', 'nyisain', 'pulsa', '70000', '4200', 'gak', 'adik', 'pakai', 'im3', 'gtu', 'pulsa', 'nya', 'hangus', 'gatau', 'kemna', 'paket', 'internet', 'jaring', 'hilang', 'lelet', 'bawa', 'main', 'sih', 'opetator', 'nya']",25/01/2024 03:53,0
Dwie Heru,['bagus'],28/01/2024 12:01,1
Khusairi Ari,"['kasih', 'bintang', 'gak', 'jls', 'jaring', 'im3', 'iniditempat']",17/01/2024 16:39,0
Rofiq Hidayat,"['kuota', 'freedom', '11gb', 'sisa', '8', 'ganti', 'kuota', 'darurat', '700mbrp4550', 'pulsa', 'darurat', 'kartu', 'aktif', '2024', 'notif', 'ganti', 'tahu', 'resah']",17/01/2024 01:50,0
Ibrahim Muvic,"['bintang', 'aplikasi', 'bug', 'login', 'guna', 'telepon', 'sayatetapi', 'aplikasi', 'nya', 'suruh', 'login', 'login', 'ulang', 'ulangdan', 'aplikasi', 'nya', 'suruh', 'login', 'segara', 'baik']",11/01/2024 10:32,0
Angga Suprianga,"['is', 'baik']",29/01/2024 12:42,1
Muhammad Adisaputra,['komen'],28/01/2024 10:18,0
Key Visual,"['provider', 'kacau', 'buka', 'aplikasi', 'pakai', 'kuota', 'abis', 'kuota', 'isi', 'nya', 'pakai', 'pulsa', '123', 'invalid', 'provider', 'coba']",26/01/2024 14:12,0
Nisa Oktaviani,['bagus'],26/01/2024 15:34,1
Nur aziiz al rifqi Rifqi,['bagus'],26/01/2024 14:51,0
deny husin,"['bagus', 'detail']",19/01/2024 13:23,1
Mejik Kom,"['sinyal', 'im3', 'suka', 'bngt', 'ilangg', 'kadang', 'sinyk', 'penuh', 'data', 'error', 'baik']",26/01/2024 12:24,0
Aliyaa Tuy,"['bagus', 'banget']",23/01/2024 08:28,1
Satria Ramadhan,"['kacau', 'error', 'melulu', 'gak', 'banget', 'memang']",27/01/2024 03:34,0
Fathullah Ali,"['anak', 'anjing', 'pulsa', '100', 'hilang', 'gtu', 'bodoh', 'indosat', 'tolol', 'tidak', 'otak', 'mahal', 'sinyal', 'jelek', 'tertawa']",27/01/2024 08:10,0
Leo Real,"['m3', 'tolol', 'sinyal', 'gak', 'apain', 'sinyal', 'lelet', 'banget']",12/01/2024 07:30,0
Muhammad Nurhuda,"['troble', 'beli', 'paket', 'mahal', 'troble']",26/01/2024 13:51,0
Anonymous User,"['kurang', 'iya', 'tuan', 'bintang', 'habis', 'baru', 'ribet', 'banyak', 'fitur', 'tidak', 'taeek', 'enak', 'sederhana']",21/01/2024 08:51,0
Raihan Sptra2710,"['enda', 'masuk', 'jaring', 'nya', 'jelek']",26/01/2024 13:26,0
Supar Supar,"['4', 'bintang', 'depan', 'aman', 'aman']",15/01/2024 09:35,1
Hermansyah Ahmad,['ok'],11/01/2024 11:51,1
Yoga Gnwn,"['heran', 'bgttt', 'error', 'ngacooo']",26/01/2024 13:47,0
Rezky Leman,"['bagus', 'sih', 'dalam', 'segi', 'kuota', 'sayang', 'ganggu', 'sinyalya']",28/01/2024 17:08,0
Amin Thohari,"['suka', 'sedot', 'pulsa', 'paket', 'laku', 'panjang', 'tidak', 'berhentiin', 'coba', 'pesan', 'wa', 'official', 'tanggap', 'puas', 'tidak', 'temu', 'unreg', 'nya', 'lagiii', 'dalam', 'pulsa', 'sedot', '10', 'ribu']",31/01/2024 17:34,0
Akhmmad Akil atqia,"['sinyal', 'kayak', 'ta1']",17/01/2024 10:32,0
Lina Dwi Lestari,"['iya', 'pas', 'aktifin', 'paket', 'gagal', 'pulsa', 'cukup', 'gagal', 'aplikasi']",23/01/2024 00:32,0
Jazilla Syifa,"['pulsa', 'sedot', 'tidak', 'hutang', 'pulsa', 'darurat']",30/01/2024 08:13,0
Lestari,['puas'],26/01/2024 10:35,1
VIN VINN,['mantap'],24/01/2024 11:36,1
Etha,"['im3', 'serakah', 'banget', 'isi', '30gb', 'buka', 'wa', 'balikin', 'uang']",25/01/2024 12:20,0
Neminarya Juanta,['bagus'],24/01/2024 22:08,1
MALIKI,"['males', 'deh', 'make', 'indosat', 'lagisinyalnya', 'lelet', 'donwload', 'game', 'chrome']",11/01/2024 03:26,0
Qiano Alrafaeyzza,"['cakep', 'banget']",24/01/2024 03:03,1
Jeann Kornelia,"['daftar', 'akun', 'kode', 'otp', 'nya', 'tidak', 'dikirim2', 'cek', 'atur', 'seluler', 'sim', 'normal', 'coba', 'tidak', 'dikirim2', 'jawab', 'yah', 'terima kasih']",15/01/2024 18:29,0
Dodi Permana,"['aplikasi', 'iya', 'g', 'login', 'akun']",15/01/2024 22:44,0
Asdar Asdar,"['suka', 'pakai', 'myim3']",27/01/2024 01:04,1
axumi store,"['ganggu', 'tidak', 'provider', 'belah']",26/01/2024 13:15,0
Djuwairiyah Azzahra,"['sinyal', 'lelet', 'putus', 'parah']",11/01/2024 02:03,0
Adan Adan,"['nonton', 'youtube', '144p', 'lelet']",12/01/2024 13:35,0
Acung Mansur,"['keluar', 'masuk', 'tidak', 'kodok']",17/01/2024 14:45,0
Iim Alamsah,"['terima', 'kasih']",31/01/2024 04:34,1
Rich3sa A,"['sinyal', 'ilang2', 'mlu', 'gtu', 'harga', 'mahal2', 'buang', 'nomor', 'indosat', 'ganti', 'kartu']",28/01/2024 12:03,0
Krisinto Paputungan,"['sanggat', 'bagus']",14/01/2024 07:59,1
HafizArfan Fauzi,"['gapaham', 'sengaja', 'banget', 'bikin', 'dc', 'ngevent', 'gilir', 'tidak', 'ngapangapain', 'normal', 'kencang', 'banget', 'atur', 'mah']",27/01/2024 05:33,0
Sansan Apriana,"['tidak', 'redem', 'voucer', 'telepon', 'tidak', 'im3', 'aneh']",19/01/2024 15:07,0
B?KM? 25,"['sinyal', 'm3', 'buruk', 'sekalikecewa', 'engga']",22/01/2024 14:39,0
Pemilik toko Hubungi (081770073767),"['jaring', 'ok', 'internet', 'lumayan', 'internet', 'nya', 'gebut', 'baik', 'lampu', 'pln', 'mati', 'sinyal', 'nya', 'ikut', 'hilang', 'sinyal', 'indosat', 'nya', 'ikutin', 'lampu', 'pln']",13/01/2024 07:08,1
Fery Hermawan,"['paket', 'mahal2', 'mym3', 'jaring', 'gak', 'setabil', 'bangeg']",29/01/2024 13:05,0
Santi Sasana,"['bantu', 'otope', 'nya', 'masuk', 'tidak', 'masuk', 'jaring', 'lelet', 'lihat', 'kuota', 'pulsa', 'sulit']",12/01/2024 13:37,0
Supriyanti Setiyono,['oke'],29/01/2024 14:41,1
Andreas Bjm,['ok'],17/01/2024 16:10,1
Djibrill Zecko,"['bug', 'biar']",26/01/2024 03:40,0
HADINAUFAL,"['jaring', 'buruk', '1', 'sat']",26/01/2024 13:28,0
Fauzan Chozlete,"['kuota', 'murah', 'kayak', 'haji', 'ajah', 'capek', 'miskin', 'miskin']",22/01/2024 07:56,0
Wafiz,"['freedom', 'internet', '200gb', '30hari', '150gb', '30hari', 'hilang']",14/01/2024 00:11,0
Amalinda WidiYanti,['bagus'],22/01/2024 04:44,0
WIDYA LAKSANA,"['mari', 'tinggal', 'indosat', 'im3', 'kualitas', 'sinyal', 'kotor', 'gbk', 'tidak', 'sinyal']",14/01/2024 05:43,0
Salman Man,"['pulsa', 'gak', 'laku', 'cewa']",30/01/2024 03:25,0
Aji Tronyok,"['data', 'nyala', 'pketn', 'main', 'game', 'wa', 'dan lain lain', 'gbsa', 'ksni', 'mkiin', 'parah', 'tolol']",26/01/2024 13:56,0
Nureska aa,"['menu', 'emoney', 'mind']",12/01/2024 20:11,1
Ibnu Halim Kurnia Agung,"['agak', 'aplikasi', 'loh', 'cek', 'kuota', 'doang', 'gbsa', 'open', 'aplikasi', 'hadehhh']",26/01/2024 13:50,0
Tengkuyong,"['3', 'jaring', 'im3', 'sangsut', 'buka', 'kirim', 'wa', 'towernya', '700', 'meter']",15/01/2024 04:12,0
Fani Uchiha,"['sinyal', 'hilang', 'melulu']",14/01/2024 05:24,0
Elly Paxley,"['harga', 'internet', 'memang', 'murah', 'jaring', 'stabil', 'jaring', 'hilang', 'main', 'game', 'buat', 'jengkel', 'mohon', 'baik']",19/01/2024 07:12,0
Ope Kicau,['bagus'],16/01/2024 15:55,1
Satria cristianus,[],28/01/2024 10:21,1
Supriadi Herun,"['im3memeras', 'konsumen', 'nya', 'jaring', 'susahsudah', 'buka']",11/01/2024 04:31,1
Muhammad Luthfi Nur,"['jaring', 'tidak']",11/01/2024 04:45,0
Asha`s part of u.,"['tidak', 'masuk', 'ganggu']",21/01/2024 06:17,0
Chaerul Anwar,"['sia', 'mun', 'ngien', 'kartu', 'nu', 'benar', 'jing', 'lag', 'wae', 'ai', 'sia', 'blog']",11/01/2024 13:31,0
Andy Deck (nextandy),"['im3', 'kenal', 'paket', 'internet', 'murah', 'mahal']",19/01/2024 12:16,1
King Dohc,"['indosat', 'mbokne', 'ancok']",26/01/2024 13:15,0
eldina fraga,"['sinyal', 'jelek']",26/01/2024 13:54,0
Faozan Muhamad,"['provider', 'ampas', 'konsumen', 'setia', '2018', 'jaring', 'ampas', 'layan', 'buruk', 'cs', 'tidak bisa', 'kasih', 'solusi', 'bilang', 'tingkat', 'kualitas', 'jaring', 'hal', 'iya', 'nunggu', '1']",23/01/2024 16:32,0
Deni Baeee,"['mohon', 'maaf', 'sinyal', 'nya', 'lambat', 'iya']",20/01/2024 14:52,0
Rayhan Davis,"['kuota', 'habis', 'ingetin', 'bab', 'pulsa', 'hangus', 'untung', 'doang']",22/01/2024 16:05,0
Amsori Along,"['beli', 'pilih', 'paket']",26/01/2024 15:23,1
Riell Deniss,['ok'],12/01/2024 09:51,1
Yuli Puspitasari,['sanget'],24/01/2024 00:34,1
Pengguna Google,"['tidak', 'buka', 'baru', 'taut', 'error', 'lebih baik', 'aplikasi', 'simpel', 'tidak', 'ribet', 'ruwet', 'buat', 'pusing', 'sm', 'indosat', 'ooredoo', 'harga', 'mahal', 'cekik', 'beda', 'toko', 'belah']",21/01/2024 07:00,0
Seed Sajalah,"['sih', 'sinyal', 'ganggu', 'tidak']",11/01/2024 11:36,0
Irwan Syah,['nyaman'],17/01/2024 15:40,1
Samsul Rijal,"['baru', 'aplikasi', 'tidak', 'buka', 'kecewa', 'banget']",26/01/2024 13:51,0
Zie Cell,['bguzz'],15/01/2024 04:21,1
Totok Wijayanto,['ok'],17/01/2024 02:48,1
Abdus Syakur,"['propider', 'sampah', 'sinyal', 'hilang', 'melulu']",26/01/2024 13:10,0
Yantoss purut,"['bagus', 'beli', 'kartu', 'perdana', 'nomor', 'cantik', 'pakai', 'bahasa', 'inggris', 'bingung', 'mbayarnya', 'alfamart', 'tidak']",19/01/2024 23:03,1
Ragil Ajie,"['main', 'game', 'lelet', 'melulu', 'kadang', 'turun', 'tidak jelas', 'fpsnya']",14/01/2024 03:13,0
Nawawi,['mantab'],20/01/2024 14:05,1
Nanang Basuki,"['aktif', 'improve']",28/01/2024 17:24,1
U M E *,"['coba', 'batal', 'bayar', 'ewallet', 'harusny', 'otomatis', 'langsnbatal', 'dng', 'haruss', 'nunggu', 'tiiii']",18/01/2024 08:31,0
Ari Saputra,['mantap'],13/01/2024 07:20,1
Nurlella 456,"['aplikasi', 'tidak', 'guna']",22/01/2024 14:41,0
muhammad reza aprilian,"['sinyal', 'gembel', 'ganggu', 'contoh', '2jam', 'ganggu', 'teman', '3hari', 'anjay', 'memang']",26/01/2024 13:37,0
Difa Ramadhani,"['anjing', 'tidak', 'masuk', 'privat']",10/01/2024 18:59,0
Rohani Rohani,"['gak', 'beli', 'paket', 'tidak', 'hidup', 'datatetapi', 'sedot', '0ulsa', 'ku', 'pulsa', 'darurat', 'bayar']",17/01/2024 13:01,0
Muhammad Rizqin Fadlih11,"['kocak', 'kuota', 'aplikasi', 'entertainment', 'tidak', 'pakai', 'yt', 'fb', 'ig', 'dan lain lain']",25/01/2024 08:00,0
Alfar Alfar syack,"['pulsa', 'suka', 'habis', 'sendirinelpon', 'operator', 'tidak', '10', 'detik', 'malahh', 'pulsa', 'sedot', '10', 'parah', 'banget']",14/01/2024 22:38,0
ikadek edi ariawan,"['iya', 'jaring', 'indosat', 'jelek', 'tidak', 'main', 'game', 'lelet', 'baik', 'buka', 'aplikasi', 'jaring', 'tidak', 'stabil', 'beda', 'tetep', 'jelek', 'jaring', 'baik', 'iya', 'kasih', 'bintang', '5']",30/01/2024 15:05,0
Rahman Fawzy,[],29/01/2024 23:28,1
azizul hakim,"['aplikasi', 'bagus']",15/01/2024 05:15,1
maharanitita,[],22/01/2024 07:20,1
Regitha aulia,['bagus'],23/01/2024 02:07,1
Firman Utina,['makas'],30/01/2024 09:29,0
Hendrik Glory,"['gak', 'pindah', 'kartu', 'secundar', 'utamaribet', 'gak', 'kayak']",28/01/2024 08:06,0
Santryani christina,"['gak', 'karuan', 'im3', 'bisabisanya', 'jakarta', 'jaring', '4g', 'gak', 'adaaaaa', '4', 'jaaammm', 'parahhh', 'banget', 'gilaa', 'harga', 'paket', 'mahal', 'jaring', 'error', 'muluu', 'klen', 'gak', 'rencana', 'baik', 'apaa']",20/01/2024 12:43,0
Bad Boy,"['banget', 'hilang', 'sinyal']",26/01/2024 13:14,0
Dhankz 21,"['parah', 'banget', 'isi', 'paket', 'gak', 'masukmasuk', 'sinyal', 'lelet', 'isi', 'voucer', 'gak', 'benah', 'dooooong', 'parah', 'myim3']",28/01/2024 07:35,1
raisya netha,"['cari', 'informasi', 'indira', 'balesan', 'nya', 'cmn', 'sruh', 'tunggu', 'beli', 'pulsa', 'tba', 'tarik', 'aneh', 'banget', 'pnya', 'utang', 'tidak', 'nyalahin', 'data', 'tidak', 'aneh', 'bnrr']",13/01/2024 06:58,0
Ruly Suhardiman,"['up', 'aplikasi', 'mahal', 'harga', 'kouta', 'nya', 'jaring', 'gak', 'bagus', 'anak', 'setan', 'provider']",23/01/2024 09:02,0
IbnuXD IbnuXd (Pala bapak kau pecah),"['pulsa', 'hilangpadahal', 'tidak', 'hutang', 'langgan', '2', 'pulsa', 'tidak', 'masuksaya', 'isi', 'rp100002', 'pulsa', 'tidak', 'masukpadahal', 'beli', 'pulsa', 'bayar', 'sukses', 'hilang', 'ingin', 'pulsa', 'tanggal', 'kamis', '180124']",18/01/2024 07:13,0
Nawrah luthfy,['ok'],17/01/2024 05:39,1
kevin abim,"['sinyal', 'nya', 'gampang', 'hilang', 'ganggu']",26/01/2024 13:53,1
Salman Hafidan,"['jaring', 'lelet', 'muluyg', 'im3', 'nya', 'tidak ada', 'gmn']",18/01/2024 04:47,0
Keto Be,"['memang', 'tidak', 'habis', 'akal', 'busuk', 'sedia', 'layan', 'kirim', 'pop', 'up', 'langgananan', 'ribet', 'scam', 'guna', 'guna', 'mesin', 'cari', 'keyboard', 'guna']",30/01/2024 18:38,0
Blackhole,[],28/01/2024 06:03,1
Triya,[],19/01/2024 01:23,1
Farisin Faris,['bagus'],26/01/2024 03:40,1
JIL GAMING,"['gak', 'gampang', 'bayar', 'pakai', 'dana', 'gagal', 'bayar', 'susah', 'indosat', 'nambah', 'ribet']",26/01/2024 12:32,0
Rara Bae,['bag7'],15/01/2024 01:45,1
Wildan Herdiansyah,"['lag', 'banget', 'sinyal', 'nya', 'cacat']",11/01/2024 11:58,0
Mubarok Farisko,"['beli', 'paket', '50rb', 'gak', 'masuk', 'anjing']",16/01/2024 13:49,0
Sizuka Arami,"['tidak bisa', 'buka', 'tidak jelas']",11/01/2024 10:32,1
Herindra saputra Banin,['sanagat'],20/01/2024 13:16,1
Siti Nuraena,"['bagus', 'bngt']",20/01/2024 03:20,1
Viko Ardiansah,"['bagus', 'banget']",24/01/2024 08:51,1
Muhammad Fareezy,"['indosat', 'guna', 'main', 'game', 'tidak', 'otak', 'lambat', 'banget', 'ping', 'merah', 'kuning', 'beda', 'axis', 'murah', 'jaring', 'lancar', 'jaya', 'main', 'game']",21/01/2024 07:56,0
Salma Azahra,"['cinta', 'm3', 'jaman', 'gadis']",22/01/2024 10:40,1
Ryan Rizki,"['ko', 'pinjam', 'pulsa', 'pulsa', 'tidak', 'masuk', 'utang', 'tetep']",11/01/2024 15:21,0
Pebi Ansyah,"['temikasih', 'bagus']",29/01/2024 15:41,1
suyadi yadi,"['sinyal', 'baikkuat']",16/01/2024 23:31,1
07 Garin Navid Nurhidayat,"['semenjak', 'kantor', 'bakar', 'sinyal', 'lelet', 'hilang', 'hilang', 'mode', 'pesawat', 'berkalikali', 'bongkar', 'pasang', 'berkalikali', 'masuh']",11/01/2024 12:51,0
April Kun,['keren'],31/01/2024 07:14,1
LeviN Nathanael T 24,"['mati', 'dada', 'jaring', 'kontrol']",25/01/2024 05:59,0
Ade Oker,['bagus'],17/01/2024 19:27,1
arwid Lisnandar,"['indosat', 'daerah', 'ciamis', 'jawa', 'barat', 'ganggu', 'alas', 'baik', 'hadeuh', 'gak']",23/01/2024 00:40,0
Gorilla Jepang,"['indosat', 'sinyal', 'busukkkkk']",14/01/2024 06:52,0
Christ N,"['super', 'lemotapa', 'pakai', 'paket', 'promomending', 'pakai', 'si', 'merahlebih', 'mahal', 'lancar', 'jaya']",31/01/2024 03:26,0
Anwar Maulana,"['jaring', 'bagus']",24/01/2024 02:32,0
Edooy batam,['ok'],24/01/2024 15:23,1
Agung Widyastoro,"['tolonglahh', 'habis', 'baru', 'ngisiscan', 'voucer', 'susah', 'banget', 'cari', 'tidak', 'ketemuketemu', 'balikin', 'gampang', 'pindai', 'voucer', 'coba', 'letak', 'pindai', 'voucer']",23/01/2024 05:41,0
INISIAL D,"['gedeg', 'banget', 'jaring', 'error', 'error', 'ampes', 'beli', 'kuota', 'kali', 'kira', 'habis', 'kuota', 'nya', 'error', 'top', 'up', 'jalan', 'gak', 'sinyal', 'error', 'capee', 'gin', 'melulu', 'auto', 'pindah', 'kartu', 'deh']",26/01/2024 12:47,0
Elsaoktaviana Elsa,"['puas', 'pakai', 'kartu', 'm3']",29/01/2024 08:27,1
Debi Sintia,"['sinyal', 'internet', 'lelet', 'banget']",31/01/2024 15:20,0
Suhardi Asok,['bagus'],16/01/2024 13:54,1
Dinda adit,"['jaring', 'jelek', 'kompensasi', 'gak', 'kasih']",31/01/2024 01:40,0
wisnu psycho,"['kesini', 'keluan', 'gak', 'bosn', 'sindir', 'terussya', 'tipu', 'ambil', 'bonus', 'padahl', 'tulis', 'myim3', 'paket', 'freedom', 'bulan', 'dpat', 'ambil', 'bonus', 'diclaim', 'gagal', 'koplakudh', 'ambil', 'bonus', 'pelit', 'susah', 'pulamending', 'belah', 'ambil', 'bonus', 'tidak', 'pelit', 'agak', 'mahal', 'mudah']",19/01/2024 02:04,0
adinda devi PW,"['aplikasi', 'gapernah', 'ktinggalan', 'baru', 'loh', 'error', 'cs', 'cs', 'nya', 'robot', 'tidak ada uang', 'guna', 'loh', 'cs', 'hapus', 'paket', 'tidak bisa', 'tidak bisa', 'sms', 'keyword', 'masuk', 'salaah', 'aplikasi', 'paket', 'data', 'tidak bisa', 'hapus', 'tumpuk', 'gtu', 'hmmmmm']",21/01/2024 11:26,0
NP _Bangun,['bagus'],29/01/2024 15:27,1
A Iponk,['bagus'],20/01/2024 11:38,1
Andi Pramantara,"['bagus', 'sinyal', 'hemat']",16/01/2024 23:24,1
Cuki Mai,"['sinyal', 'busuk', 'dimintain', 'konsultasi', 'tidak ada uang', 'guna']",15/01/2024 09:29,0
Hanif Ahmad,"['sagat', 'bagus']",12/01/2024 07:16,1
Ebreg Bae,"['teman', 'syh', 'murah', 'ko', 'mahal', 'aneh', 'my', 'm3']",30/01/2024 13:39,1
Heru Hermawan,"['kuota', 'mahal', 'pindah', 'si', 'merah', 'si', 'ungu', 'sayang']",21/01/2024 01:28,0
Usman Setiawan,['jaring'],15/01/2024 15:04,0
simpati koe,['ok'],11/01/2024 02:41,1
Marwah Alamsyah,['bagus'],21/01/2024 07:37,1
Rizkii. magdatama,"['sinyal', 'busuk']",23/01/2024 12:12,0
Irfan Ku,"['jaring', 'ok', 'murah', 'dikit', 'paket', 'nya']",13/01/2024 05:25,1
rona guritman,"['ok', 'banget', 'siip']",15/01/2024 00:25,1
agung multazam,"['paket', 'tidak', 'dipake', 'pulsa', 'habis', 'sedot']",27/01/2024 12:45,0
Imron Rosadi,['jos'],21/01/2024 13:27,1
Atunna Atun,['bagus'],23/01/2024 08:12,1
Adex Dit,['nonet'],31/01/2024 13:07,1
Adela Puspita,"['woy', 'tidak', 'kasih', 'bintang', '1', 'benar', 'paket', 'aplikasi', 'masuk', 'pulsa', 'tarik', 'anjing', 'kapok', 'pakai', 'indosat', 'gin', 'pulsa', 'banget', 'potong', 'mahal', 'pindah', 'haluan', 'deh']",15/01/2024 05:41,0
MASRI SIDIQ,"['indosat', 'si', 'belikan', 'kuota', 'tidak', 'pakai']",26/01/2024 12:31,0
